Algorithm,ArraySize,Time(ns),Comparisons,Swaps,MaxDepth
MergeSort,100,160333,1681,0,3
QuickSort,100,188500,1849,1151,5
ClosestPair,100,3210466,3451,0,7
Select(k=46),100,457166,677,271,6
MergeSort,1000,1125233,28830,0,6
QuickSort,1000,841733,30836,20032,7
ClosestPair,1000,6698700,56833,0,10
Select(k=641),1000,525566,12251,5323,20
MergeSort,10000,3682366,359850,0,10
QuickSort,10000,1553133,466761,276325,9
ClosestPair,10000,62817466,758207,0,13
Select(k=8021),10000,2422366,72340,35672,20
MergeSort,51200,14907466,2260688,0,12
QuickSort,51200,20781133,2841821,1603885,11
ClosestPair,51200,339797266,4560039,0,16
Select(k=29475),51200,3685066,545786,235761,23
